#;RefDes;Quantity;Name;Value;Part
1;C1, C9, C11;3;CAP_0805;100nF;Part 1
2;C2;1;CAP_0805;47pF;Part 1
3;C3, C4;2;CAP_0805;10uF - 25V;Part 1
4;C5;1;CAP_0805;22uF;Part 1
5;D1, D3, D6;3;DIODE_0805;20V-1A;Part 1
6;D2, D5;2;DIODE_1206;40V-2A;Part 1
7;D4;1;LED - 2 mA;;Part 1
8;J1, J2, J3;3;644456-2;;Part 1
9;L2;1;ASPI-4030S;4.7uH;https://www.digikey.ca/product-detail/en/abracon-llc/ASPI-4030S-4R7M-T/535-12322-1-ND/4214922
10;Q1;1;MOSFET N;BSS138;Part 1
11;Q3;1;FZT957CT;FZT957CT;Part 1
12;R1;1;RES_0805;4.75k (1%);Part 1
13;R2;1;RES_0805;115k (1%);Part 1
14;R3;1;RES_0805;0.39;Part 1
15;R4;1;RES_0805;10k;Part 1
16;R5;1;RES_0805;8.2k;Part 1
17;R6;1;RES_0805;115k;Part 1
18;R7;1;RES_0805;11.5k;Part 1
19;R8;1;RES_0805;10k - 0.1%;Part 1
20;R9;1;RES_0805;20k - 0.1%;Part 1
21;R10;1;RES_0805;1M (1%);Part 1
22;R13;1;RES_0805;4.7k;Part 1
23;R15;1;RES_0805;3.3k;Part 1
24;R16;1;RES_0805;6.8k;Part 1
25;R18;1;RES_0805;47k;Part 1
26;U1;1;LT1935ES5;LT1935ES5;Part 1
27;U2;1;BTS4142;BTS4142;Part 1
28;U3;1;BQ2057W;BQ2057W;Part 1
29;U4;1;LT6700HVCS6-3;LT6700;Part 1
